game_id,nameOfGames,released_date,rating,summary
1,Game1,2022-01-01,85.5,Awesome action game
2,Game2,2022-02-15,75,Exciting adventure game
3,Game3,2022-03-20,90.2,Strategic war game
4,Game4,2022-04-10,88,Action-packed thriller
5,Batman,1989-01-01,0,Patrol the streets of Gotham City with this Batman costume inspired by the 2008 movie ‘The Dark Knight’.
6,Batman: Vengeance,2001-10-15,0,
7,Batman: Arkham Origins,2013-10-25,75.03509,Batman: Arkham Origins features an expanded Gotham City and introduces an original prequel storyline occurring several years before the events of Batman: Arkham Asylum and Batman: Arkham City.
8,Batman: Arkham Collection,2019-09-06,0,"""Batman: Arkham Collection brings you the definitive versions of Rocksteady's Arkham Trilogy games, including all post-launch content, in one complete collection.  Experience two of the most critically acclaimed titles of the last generation - Batman: Arkham Asylum and Batman: Arkham City, with fully remastered and updated visuals. Complete your experience with the explosive finale to the Arkham series in Batman: Arkham Knight. Become the Batman and utilize a wide range of gadgets and abilities to face off against Gotham's most dangerous villains, finally facing the ultimate threat against the city that Batman is sworn to protect."""
9,Batman: Arkham Knight,2015-06-23,0,Patrol the streets of Gotham City with this Batman costume inspired by the 2008 movie ‘The Dark Knight’.
10,Batman: Return to Arkham,2016-10-18,81.86872,Batman: Return to Arkham sees the combination of two classic entries in the Batman: Arkham series make a return to modern consoles (PS4 and Xbox One) with improved graphics. Warner Bros. is remastering 2009’s Batman: Arkham Asylum and 2011’s Batman: Arkham City which will release in this collection package along with all of the associated DLC.
11,Batman: Arkham City,2011-10-18,87.14412,"After the events of Batman: Arkham Asylum (2009), a section of the city of Gotham has been turned into a prison, designed to keep the scum of the city away from the people. Bruce Wayne protests this prison but is shortly kidnapped by the despicable Hugo Strange, thus having to face the city's most powerful villains as the Batman while trying to uncover Strange's plans."
12,Batman: Arkham VR,2016-10-11,73.81314,"Your quest to clean up Gotham has only just begun – and now it’s even more terrifying than it’s ever been. Exclusive to PlayStation VR, Batman: Arkham VR lets you become the Dark Knight in a virtual reality recreation of the DC’s hero’s more iconic locations.  Become the world’s greatest detective and explore places such as Wayne Manor and the Batcave as you battle in a brand new and personal story set in Rocksteady’s classic Arkham universe."
13,Batman: Arkham Asylum,2009-08-25,85.86692,"Using a great variety of gadgets you must make your way around the island, and the asylums halls to find and stop the joker. The game uses a 3-button combat system, but with a great number of gadget abilites which Batman can unlock. This makes for a very cinematic combat experience when fighting the Joker's goons."
14,Batman: The Telltale Series,2016-08-02,72.27118,"Enter the fractured psyche of Bruce Wayne and discover the powerful and far-reaching consequences of your choices as the Dark Knight.  In this gritty and violent new story from the award-winning creators of The Walking Dead – A Telltale Games Series, you'll make discoveries that will shatter Bruce Wayne's world, and the already fragile stability of a corrupt Gotham City."
