platform_id,nameOfPlatform
1,"Commodore / Amiga, Genesis"
2,"PC, Xbox, PlayStation 2, GameCube, Game Boy Advance"
3,"PC, Android, Xbox 360, PlayStation 3"
4,"PC, Xbox One, PlayStation 4"
5,"Xbox One, PlayStation 4"
6,"PC, Xbox One, macOS, Xbox 360, PlayStation 3"
7,"PC, PlayStation 4"
8,"PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3"
9,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Xbox 360, PlayStation 3"
10,"Game Boy, NES, Genesis"
11,"Game Boy, NES"
12,"Nintendo 3DS, PS Vita"
13,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS"
14,"PC, PlayStation 4, Xbox 360, PlayStation 3"
15,"Xbox, PlayStation 2, GameCube, Game Boy Advance"
16,"PC, Game Boy, SNES, Genesis, Game Gear"
17,"Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
18,"PC, Xbox 360, PlayStation 3, Wii U"
19,"Nintendo DS, Xbox 360, Xbox, PlayStation 2, PSP"
20,Nintendo 64
21,"PlayStation 2, GameCube"
22,Game Boy Advance
23,"PC, Classic Macintosh"
24,Web
25,"PC, macOS, Xbox 360, PlayStation 3"
26,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
27,"iOS, Android"
28,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
29,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
30,"PC, macOS"
31,"PC, Xbox One, iOS, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
32,"Xbox, PlayStation 2, GameCube"
33,"PC, Xbox One, Nintendo DS, Xbox 360, PlayStation 3, Wii"
34,"PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Wii"
35,"PC, Xbox One, PlayStation 4, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
36,PC
37,PlayStation 2
38,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
39,"Xbox 360, PlayStation 3"
40,"PC, Xbox 360, PlayStation 3"
41,"PC, Xbox One, PlayStation 4, Nintendo Switch"
42,Xbox 360
43,"PC, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 3"
44,Nintendo DS
45,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
46,"PlayStation 3, PSP"
47,"Xbox One, Xbox 360, PlayStation 3, Wii U"
48,PlayStation
49,PlayStation 3
50,"PC, PlayStation 5, Xbox Series S/X"
51,"PC, iOS, Xbox 360, PlayStation 3, PS Vita"
52,"PC, iOS, Android, PlayStation, PSP, Wii, Game Boy Advance"
53,PSP
54,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, PlayStation"
55,"PC, iOS, Android, Game Boy Advance, SNES"
56,"PC, PlayStation 5, PlayStation 4"
57,"PC, Xbox 360, PlayStation 2"
58,"PC, PlayStation 4, PlayStation"
